t,ua,ub,uc,omega_mech,theta_mech,theta_e,ia,ib,ic,id,iq,T_em
0.158,0,0,0.15,-1.91609,-0.288294,-0.576205,0.425597,-0.487162,0.0615652,0.52949,-0.0337701,-0.00131703
0.159,0,0,0.15,-1.91555,-0.29021,-0.580037,0.487549,-0.554808,0.0672584,0.604641,-0.0332045,-0.00129498
0.16,0,0,0.15,-1.91498,-0.292125,-0.583868,0.549162,-0.62269,0.0735282,0.679769,-0.0326434,-0.00127309
0.161,0,0,0.15,-1.91438,-0.29404,-0.587697,0.61043,-0.690802,0.0803727,0.754872,-0.0320858,-0.00125135
0.162,0,0,0.15,-1.91375,-0.295954,-0.591525,0.671349,-0.75914,0.0877902,0.829947,-0.0315309,-0.0012297
0.163,0,0,0.15,-1.9131,-0.297867,-0.595352,0.731918,-0.827696,0.0957785,0.904993,-0.0309776,-0.00120813
0.164,0,0,0.15,-1.91242,-0.29978,-0.599178,0.79213,-0.896466,0.104336,0.980007,-0.0304252,-0.00118658
0.165,0,0,0.15,-1.91171,-0.301692,-0.603002,0.851984,-0.965444,0.11346,1.05499,-0.0298727,-0.00116504
0.166,0,0,0.15,-1.91098,-0.303603,-0.606825,0.911475,-1.03462,0.123149,1.12993,-0.0293195,-0.00114346
0.167,0,0,0.15,-1.91022,-0.305514,-0.610646,0.9706,-1.104,0.133401,1.20483,-0.0287652,-0.00112184
0.168,0,0,0.15,-1.90943,-0.307424,-0.614466,1.02935,-1.17357,0.144215,1.2797,-0.0282094,-0.00110017
0.169,0,0,0.15,-1.90861,-0.309333,-0.618284,1.08773,-1.24332,0.155589,1.35452,-0.0276521,-0.00107843
0.17,0,0,0.15,-1.90777,-0.311241,-0.6221,1.14574,-1.31326,0.167522,1.4293,-0.0270934,-0.00105664
0.171,0,0,0.15,-1.9069,-0.313148,-0.625915,1.20336,-1.38337,0.180012,1.50402,-0.0265334,-0.0010348
0.172,0,0,0.15,-1.906,-0.315055,-0.629728,1.26059,-1.45365,0.193059,1.5787,-0.0259725,-0.00101293
0.173,0,0,0.15,-1.90508,-0.31696,-0.633539,1.31744,-1.5241,0.20666,1.65333,-0.0254112,-0.000991036
0.174,0,0,0.15,-1.90412,-0.318865,-0.637349,1.37389,-1.59471,0.220815,1.72791,-0.0248498,-0.000969142
0.175,0,0,0.15,-1.90314,-0.320768,-0.641156,1.42995,-1.66547,0.235522,1.80243,-0.0242889,-0.000947266
0.176,0,0,0.15,-1.90214,-0.322671,-0.644961,1.4856,-1.73638,0.250779,1.87689,-0.0237288,-0.000925422
0.177,0,0,0.15,-1.9011,-0.324572,-0.648765,1.54085,-1.80743,0.266586,1.95129,-0.0231699,-0.000903627
0.178,0,0,0.15,-1.90004,-0.326473,-0.652566,1.59569,-1.87863,0.282941,2.02563,-0.0226126,-0.000881891
0.179,0,0,0.15,-1.89896,-0.328372,-0.656365,1.65012,-1.94996,0.299841,2.0999,-0.0220571,-0.000860225
0.18,0,0,0.15,-1.89784,-0.330271,-0.660162,1.70413,-2.02142,0.317285,2.17411,-0.0215034,-0.000838634
0.181,0,0,0.15,-1.8967,-0.332168,-0.663957,1.75772,-2.093,0.335271,2.24826,-0.0209518,-0.000817121
0.182,0,0,0.15,-1.89553,-0.334064,-0.667749,1.8109,-2.16469,0.353796,2.32233,-0.0204022,-0.000795686
0.183,0,0,0.15,-1.89434,-0.335959,-0.671539,1.86364,-2.2365,0.372858,2.39632,-0.0198545,-0.000774327
0.184,0,0,0.15,-1.89312,-0.337853,-0.675327,1.91596,-2.30842,0.392456,2.47025,-0.0193087,-0.00075304
0.185,0,0,0.15,-1.89187,-0.339745,-0.679112,1.96785,-2.38044,0.412585,2.54409,-0.0187647,-0.000731821
0.186,0,0,0.15,-1.8906,-0.341636,-0.682894,2.01931,-2.45255,0.433244,2.61786,-0.0182222,-0.000710665
0.187,0,0,0.15,-1.8893,-0.343526,-0.686674,2.07033,-2.52476,0.45443,2.69155,-0.0176811,-0.000689565
0.188,0,0,0.15,-1.88798,-0.345415,-0.690452,2.1209,-2.59704,0.47614,2.76516,-0.0171415,-0.000668517
0.189,0,0,0.15,-1.88663,-0.347302,-0.694226,2.17104,-2.66941,0.498372,2.83868,-0.016603,-0.000647517
0.19,0,0,0.15,-1.88525,-0.349188,-0.697998,2.22073,-2.74185,0.521123,2.91211,-0.0160657,-0.000626562
0.191,0,0,0.15,-1.88385,-0.351072,-0.701768,2.26998,-2.81437,0.54439,2.98546,-0.0155295,-0.000605652
0.192,0,0,0.15,-1.88243,-0.352955,-0.705534,2.31877,-2.88694,0.56817,3.05871,-0.0149945,-0.000584784
0.193,0,0,0.15,-1.88098,-0.354837,-0.709298,2.36711,-2.95957,0.592461,3.13188,-0.0144605,-0.000563961
0.194,0,0,0.15,-1.8795,-0.356717,-0.713058,2.415,-3.03226,0.61726,3.20494,-0.0139278,-0.000543185
0.195,0,0,0.15,-1.878,-0.358596,-0.716816,2.46242,-3.10499,0.642563,3.27792,-0.0133963,-0.000522457
0.196,0,0,0.15,-1.87647,-0.360473,-0.720571,2.50939,-3.17776,0.668369,3.35079,-0.0128662,-0.000501783
0.197,0,0,0.15,-1.87492,-0.362349,-0.724322,2.5559,-3.25057,0.694674,3.42356,-0.0123376,-0.000481165
0.198,0,0,0.15,-1.87335,-0.364223,-0.728071,2.60194,-3.32341,0.721475,3.49623,-0.0118105,-0.000460608
0.199,0,0,0.15,-1.87174,-0.366095,-0.731816,2.64751,-3.39628,0.748769,3.5688,-0.011285,-0.000440116
0.2,0,0,0.15,-1.87012,-0.367966,-0.735558,2.69261,-3.46917,0.776553,3.64126,-0.0107614,-0.000419693
0.201,0,0,0.15,-1.86847,-0.369835,-0.739297,2.73725,-3.54207,0.804824,3.71361,-0.0102395,-0.000399341
0.202,0,0,0.15,-1.86679,-0.371703,-0.743032,2.78141,-3.61498,0.833578,3.78585,-0.00971958,-0.000379064
0.203,0,0,0.15,-1.8651,-0.373569,-0.746764,2.82509,-3.6879,0.862814,3.85799,-0.00920161,-0.000358863
0.204,0,0,0.15,-1.86337,-0.375433,-0.750493,2.8683,-3.76082,0.892526,3.93,-0.00868566,-0.000338741
0.205,0,0,0.15,-1.86163,-0.377295,-0.754218,2.91102,-3.83374,0.922713,4.00191,-0.00817175,-0.000318698
0.206,0,0,0.15,-1.85985,-0.379156,-0.75794,2.95327,-3.90664,0.95337,4.07369,-0.0076599,-0.000298736
